GIS_LENGTH,GIS_AREA,PMAID,the_geom,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,ORIG_FID
110.93192664,791.1353637,3894,POINT (-122.3975360819076 47.67745449201582),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,52
110.93434066,791.18230589,3894,POINT (-122.39753222136186 47.67760999322286),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,53
110.93814871,791.26100119,3894,POINT (-122.39778713326992 47.67749796386123),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,54
291.66576244,5158.77607827,376,POINT (-122.3091880725099 47.64191497880447),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,55
86.5616604,436.5206016,595,POINT (-122.31916328373993 47.65935159251668),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,56
253.23145043,3870.65105391,488,POINT (-122.30449296486373 47.67637762336715),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,57
106.83504331,699.3688871,342,POINT (-122.35975075760693 47.6290460903747),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,58
369.77144015,8022.22906032,391,POINT (-122.31086303772578 47.67289216797362),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,59
203.03050772,2356.28985947,496,POINT (-122.28384706210772 47.6674671126369),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,60
184.28097236,2105.90154651,499,POINT (-122.29970392374831 47.68476538579411),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,61
198.09018619,2540.91549637,4002,POINT (-122.29899286788165 47.71816156958957),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,62
110.23063242,768.55191076,444,POINT (-122.28007072282573 47.68003760011844),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,63
142.60495994,1365.91056462,347,POINT (-122.27442955660143 47.697226327049655),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,64
112.10931585,822.47241812,4471,POINT (-122.31348147658296 47.66505783347101),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,65
132.26274846,1008.74347208,243,POINT (-122.4040397377443 47.69203896739306),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,66
141.06729442,1189.65219904,1104,POINT (-122.33257401960547 47.66416340149178),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,67
255.81901331,4075.43279055,241,POINT (-122.34940031607003 47.65564576833682),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,68
229.91370256,3301.61089255,4456,POINT (-122.32376427567709 47.71020780373159),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,69
101.90642177,631.14758757,410,POINT (-122.32203880745138 47.552152557492114),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,70
113.70068457,844.18852081,436,POINT (-122.28431436820489 47.519579321627134),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,71
191.32308336,1790.46992899,482,POINT (-122.28401721343054 47.67531284344249),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,72
271.48258871,4302.36660452,423,POINT (-122.28597118238382 47.56245213584087),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,73
271.48259867,4302.3668556,423,POINT (-122.28621575164966 47.56245217168157),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,74
324.49482821,6070.94747447,310,POINT (-122.40524168352972 47.65684163785209),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,75
210.53679599,2242.95542505,4408,POINT (-122.35022830268422 47.692697844857214),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,76
149.57410489,1514.38562945,248,POINT (-122.36156830011613 47.66019084556801),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,77
276.15454873,4499.00855183,403,POINT (-122.27722534725459 47.536813537755116),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,78
322.79882544,6302.35020192,307,POINT (-122.32812638516565 47.68000592020195),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,113
205.73995599,2568.89584941,307,POINT (-122.32842207099819 47.68002760745518),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,127
226.45210436,3160.80015801,398,POINT (-122.25762797908494 47.68174563024695),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,148
147.25013335,1353.72331033,4167,POINT (-122.28779616852506 47.72599629789687),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,150
224.87425052,3112.1964198,398,POINT (-122.25762143538108 47.68160963390571),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,158
275.21916713,4529.82736501,397S,POINT (-122.30329239906284 47.59154937960783),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,178
275.48224741,4540.75810526,397S,POINT (-122.30333951025496 47.59140318916482),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,190
319.57970681,6111.27794668,429,POINT (-122.28631853654178 47.53773641035324),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,222
313.84130259,5924.55171487,429,POINT (-122.28631982782058 47.5380077747047),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,223
139.71561526,1152.7449675,1104,POINT (-122.33251916312022 47.664111968832295),04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,249
147.87534015,1364.84978922,4167,POINT (-122.28779071198718 47.726100877780326),06/10/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,253
285.80936319,5023.31501141,3881,POINT (-122.31708630355064 47.69075230882947),06/10/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,254
330.55977898,6340.43845796,431,POINT (-122.29641949313711 47.53965786710746),08/02/2016 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,243
330.44068403,6334.20803351,431,POINT (-122.29642336192593 47.53982370269992),08/02/2016 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,244
