element_key,latitude,longitude
1001,47.6028623746714,-122.33470308184
1002,47.60299736610535,-122.334538261994
1005,47.603601932813,-122.335382021038
1006,47.6037254824192,-122.33517087827902
1009,47.605009553744495,-122.336669169258
1010,47.6052725843599,-122.33658563664301
1013,47.6063782521347,-122.337960165173
1014,47.6065692922356,-122.337810819965
1017,47.610496778598005,-122.34183100356
1018,47.610755608895595,-122.341899260172
1021,47.6121366367352,-122.344621807416
1022,47.612180735804394,-122.344296008114
1025,47.614370455083304,-122.34840534648401
1026,47.61453873368529,-122.34828959083801
1029,47.6164981740146,-122.35201029812201
1030,47.6166733251306,-122.35187547840901
1033,47.6173252883813,-122.353400009213
1034,47.617549556426,-122.353379319452
1037,47.6214781356596,-122.355530715539
1041,47.6223033078158,-122.35552391511301
1045,47.624027794482345,-122.355513871049
1046,47.6239422436797,-122.3552996479605
1213,47.6013507900301,-122.334301495055
1214,47.60131760050349,-122.334058409334
1217,47.6003669190931,-122.334305227444
1218,47.600582354069005,-122.334061152736
1222,47.5958179498233,-122.334040471448
1229,47.6119812804072,-122.319476633108
1233,47.6146560758954,-122.319573568428
1234,47.614709848176396,-122.319331156984
1277,47.621614898691696,-122.35812835204251
1278,47.6215691389732,-122.357950303487
1281,47.6253460766185,-122.35810846841501
1433,47.66395503572604,-122.31644479184966
1577,47.6097246380501,-122.316901328673
1578,47.609880550426695,-122.3166580052
1589,47.615832154867896,-122.316980842831
1590,47.6158885932089,-122.31674657146701
1601,47.66034280015265,-122.3155686665325
1602,47.66045021631559,-122.31535479524467
1821,47.6147470972343,-122.31560910600601
2054,47.6149146437628,-122.31268356606401
2085,47.6589503975327,-122.312119097562
2089,47.663912743476295,-122.31205014035767
2090,47.66397342214083,-122.311858444471
2781,47.615630761796496,-122.348540730211
2782,47.6156992111992,-122.348280734561
2785,47.616691368727395,-122.350346317057
2786,47.6168509523425,-122.350209698444
2789,47.6178021917963,-122.35225586112001
2790,47.6180099721782,-122.352169950963
2793,47.620310254686494,-122.35295550038701
2797,47.6248659046263,-122.352919492045
2798,47.6249879734386,-122.35265083028202
2921,47.60047530370309,-122.33171439812101
2922,47.6005733275088,-122.33142236615001
2925,47.5994248275221,-122.33171840616102
2926,47.599454165015594,-122.331430477071
2986,47.599729825181896,-122.32999322310602
3081,47.6688837616804,-122.382238684639
3082,47.6690528088099,-122.382018789393
3337,47.667183722158796,-122.38484466063701
3338,47.666773056633,-122.384643349528
3341,47.669123838115496,-122.38486562332601
3342,47.6691070288154,-122.384622167754
4433,47.6129323297656,-122.34197473865201
4434,47.612992758599695,-122.341695083241
4437,47.61621643967779,-122.34752935857401
4438,47.6164002300592,-122.347458339466
4441,47.617853149289594,-122.35030436115001
4442,47.6179919075935,-122.35015716139901
4445,47.625274411663696,-122.351599202309
6166,47.6019934467038,-122.32900753521301
6197,47.617552542528,-122.34783772346101
6198,47.617644879158696,-122.34756269446001
7246,47.6054089588108,-122.330623842682
7257,47.614036169415,-122.33987512432901
7258,47.614169537728,-122.33971881790401
7261,47.6148254309933,-122.341240930159
7262,47.614963962021896,-122.34105639482101
7265,47.6181396640457,-122.346816883521
7397,47.5971253968412,-122.32779119716001
7398,47.5968672918765,-122.32756588354201
7989,47.6096153292157,-122.333188116673
7990,47.6096909579099,-122.33300941972502
7997,47.614062419627096,-122.337961494436
7998,47.61429008934601,-122.33794608945
8001,47.614662783482196,-122.33899497122
8002,47.6150805198137,-122.33925795573501
8005,47.6155644863128,-122.340537862283
8097,47.5996495190193,-122.32646808768801
8098,47.599605365952094,-122.326249394508
8101,47.5963075115004,-122.32647325382601
8102,47.5962415539261,-122.326270867465
8242,47.6058775222148,-122.327975318221
8249,47.6147345752202,-122.33707591628
8301,47.597951059425895,-122.32387678783
8302,47.597928808629796,-122.323641788409
8305,47.597172389505005,-122.323896000473
8306,47.5970912718071,-122.323620731888
8369,47.6055397718641,-122.3263950127
8370,47.6054839598326,-122.32609131512201
8373,47.6061896792134,-122.32697542453101
8374,47.6062017323393,-122.326762388327
8377,47.6068462218245,-122.327571349359
8378,47.6068954245445,-122.327392320338
8382,47.6076630391445,-122.328099028786
8389,47.6144663008851,-122.33478026531901
8393,47.61738133717069,-122.33965461803301
8394,47.6178104565659,-122.339918407802
8397,47.6182223395223,-122.34100890435901
8398,47.6182663150194,-122.34068917428101
8401,47.623862269164746,-122.34117959469302
8402,47.62392078301164,-122.340923595981
8405,47.6266998371733,-122.34116184487901
8406,47.6267287080204,-122.340885803565
8541,47.5979106082852,-122.32256358136901
8542,47.597934782237694,-122.32233651072201
8601,47.6052944381393,-122.32464947493101
8609,47.6064475456813,-122.325690111948
8610,47.606719200996096,-122.325686093946
8614,47.6152746586351,-122.333689955423
8617,47.6160565037793,-122.335333883494
8618,47.616215480313,-122.335294721854
8622,47.6183341216319,-122.338873308605
8626,47.6259652478875,-122.339572987073
8829,47.6041260906401,-122.33890828059201
8830,47.6041648219747,-122.338661090774
8837,47.613178148212896,-122.352107361207
8841,47.614620965547694,-122.35456087494501
8854,47.6042810340229,-122.338341381714
8858,47.6049205979622,-122.33891058140301
8870,47.601376430162496,-122.33567879355999
9109,47.6649109975994,-122.381594917026
9110,47.664914634879395,-122.381282992636
9114,47.665367008801496,-122.38181514835301
9141,47.66812919296813,-122.37985649153067
9142,47.6680473402789,-122.37946936799801
9145,47.6132993196114,-122.349062428451
9146,47.6130570380548,-122.349057874657
9149,47.616565268647804,-122.34486496587701
9150,47.6162964674312,-122.344846368852
9157,47.618147897990504,-122.355729200035
9158,47.618033574736394,-122.355510815586
9277,47.613137299420195,-122.346976666835
9278,47.612945695233,-122.346922818821
9349,47.6117781440717,-122.346420075905
9353,47.612937648941596,-122.34491951990701
9354,47.6129955916889,-122.34457526436302
9357,47.6144149394951,-122.343014176921
9358,47.614107170794895,-122.34313232146701
9393,47.621441158508794,-122.33596987955501
9394,47.6214512035279,-122.335734607293
9421,47.610928981061704,-122.32213410754001
9422,47.6111261203999,-122.322075804951
9461,47.6170726045891,-122.320945433518
9462,47.6167242085006,-122.3207046752
9465,47.6178959800954,-122.320962663325
9469,47.6193761168371,-122.32098616536351
9470,47.619364219225695,-122.320738623689
9473,47.6204375698513,-122.32100306243902
9474,47.6206308828002,-122.320758809525
9477,47.624787166465296,-122.32108083468601
9478,47.6247333946409,-122.32081396353401
9509,47.66247848986476,-122.31433751299967
9510,47.66240853129013,-122.31413438054402
9673,47.6149712877531,-122.35185238572201
9674,47.614720943966596,-122.35185309334702
9677,47.616155283516896,-122.350342064052
9678,47.6160202778429,-122.35015039744701
9697,47.6069349519154,-122.32397919856501
9698,47.6069502898158,-122.323603272666
9702,47.6077913589681,-122.321587824231
9721,47.616715702855096,-122.351265225629
9722,47.6166650739288,-122.35096450473802
9762,47.6026693817148,-122.336181675097
9770,47.604774439561396,-122.331141878088
10053,47.6224695071087,-122.342546355131
10054,47.622656856206596,-122.342200018504
10153,47.62145000887249,-122.329243271026
10157,47.6246542981593,-122.329315258131
10161,47.6262920918564,-122.329379546222
10165,47.627416442979296,-122.329384478289
10202,47.6086389746091,-122.3428556107
10209,47.6122201460175,-122.348699634013
10210,47.612667174093396,-122.349110555538
10213,47.6129278791831,-122.34989599132601
10214,47.613179576550294,-122.349988864375
10218,47.614278741555005,-122.35182955090501
10222,47.6153702253348,-122.353688224817
10277,47.650305815092146,-122.35139817239751
