NAME,the_geom,ADDRESS,DIVISION,SOCCER,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2
Rainier Beach HS,POINT (-122.26820901887295 47.52542071596304),8815 Seward Park Ave S,SSD,1,Y,Synthetic,Yes,,,,,
Denny MS / Sealth HS,POINT (-122.3676623700913 47.52645850812632),8402 30th Ave SW,SSD,2,Y,Synthetic and Grass,Yes,,,,,
Bobby Morris Playfield,POINT (-122.31914014209347 47.615876049091774),1700 Negel Pl,Central,1,Y,Synthetic,Yes,3102,,,,
Ballard HS,POINT (-122.37318893945535 47.67694878924146),1418 NW 65th St,SSD,1,Y,Synthetic,No,,,,,
Bitter Lake Playfield,POINT (-122.34950119764721 47.72365015377412),13030 N Park Ave N,North,1,N,Grass,Yes,288,,,,
Interbay Stadium,POINT (-122.37844608356018 47.64680559923653),3027 17th Ave W,Central,1,N,Synthetic,Yes,3887,,,,
Nathan Hale Stadium,POINT (-122.2921471484626 47.70784683575375),10750 30th NE,SSD,1,Y,Synthetic,Yes,,,,,
North Beach EL,POINT (-122.38688789036641 47.695896138913625),9018 24th Ave NW,SSD,1,Y,Grass,No,,,,,
Van Asselt Playground,POINT (-122.29383549738175 47.53941819304195),2820 S Myrtle St,South,1,Y,Grass,No,431,,,,
Georgetown Playfield,POINT (-122.32112202685079 47.5512935457871),750 S Homer St,South,1,Y,Synthetic,Yes,410,,,,
Beacon Hill Playground,POINT (-122.3153637552873 47.58582118941408),1902 13th Ave S,South,1,N,Grass,No,400,,,,
Magnuson Park,POINT (-122.25481709945596 47.68187591191775),6500 Sandpoint Way NE,North,6,Y,Synthetic and Grass,Yes,398,,,,
Alki Playground,POINT (-122.40733168734344 47.578064991170265),58th Ave SW & SW Lander St,South,1,Y,Grass,No,446,,,,
Fairmount Playground,POINT (-122.3808709708248 47.553805838917484),5400 Fauntleroy Way SW,South,1,Y,Grass,No,452,,,,
Wilson Pacific MS,POINT (-122.33709269576812 47.69516609293817),1330 N 90th St,SSD,1,Y,Grass,No,,,,,
Woodland Park - Field 2,POINT (-122.3413590386412 47.667083361534786),550 Phiney Ave N,North,1,N,Synthetic,Yes,292,,,,
B.F. Day Playground,POINT (-122.34927332120355 47.656398089506894),4020 Freemont Ave N,North,1,Y,Grass,No,241,,,,
South Park Playground,POINT (-122.32382976392303 47.5278187158688),8319 8th Ave S,South,1,Y,Grass,No,467,,,,
Highland Park Playground,POINT (-122.34862249202064 47.52749771851121),1100 SW Cloverdale,South,1,Y,Grass,No,457,,,,
Northgate EL,POINT (-122.33054126607261 47.71548289925663),11725 1st Ave NE,SSD,1,Y,Grass,No,,,,,
Lakewood Playground,POINT (-122.2701078470029 47.55883760721444),S Angeline St & 50th  Ave S,South,1,Y,Grass,No,414,,,,
Garfield HS,POINT (-122.3005338292536 47.60509440838338),400 23rd Ave,SSD,1,N,Synthetic,No,,,,,
Gilman Playground,POINT (-122.36964777885647 47.667610065894856),923 NW 54th St,North,1,Y,Grass,No,242,,,,
Hiawatha Playfield,POINT (-122.38570724549915 47.57804982760599),2700 California Ave SW,South,1,Y,Synthetic,Yes,456,,,,
Laurelhurst Playfield,POINT (-122.27735814320042 47.660730131550395),NE 45th St & 48th Ave NE,North,1,Y,Grass,No,340,,,,
Maplewood Playfield,POINT (-122.31930195033797 47.55949293729047),Corson Ave S & S Angeline St,South,1,Y,Grass,No,418,,,,
West Queen Anne Playfield,POINT (-122.35959294870526 47.635352308777755),1901 1st Ave W,Central,1,Y,Grass,Yes,330,,,,
High Point Playfield,POINT (-122.37266993571144 47.5399330957171),6920 34th Ave SW,South,1,Y,Synthetic,Yes,3941,,,,
Sam Smith Park,POINT (-122.30100785768047 47.58979039525883),,South,1,N,Grass,No,4242,,,,
E.C. Hughes Playground,POINT (-122.3695060357275 47.53262570703106),2805 SW Holden St,South,1,Y,Grass,No,458,,,,
Maple Leaf Playground,POINT (-122.315558379439 47.68902498155164),1020 NE 82nd St,North,1,Y,Grass,No,3881,,,,
Whitman MS,POINT (-122.37997886315077 47.697451044636274),9201 15th Ave NW,SSD,1,N,Synthetic,No,,,,,
McGilvra EL,POINT (-122.28480647992626 47.63365209804351),,SSD,1,N,Synthetic,No,,,,,
Wallingford Playfield,POINT (-122.33801945019914 47.65861159314977),4233 N 43rd St,North,1,N,Grass,No,449,,,,
Washington Park,POINT (-122.29389845833558 47.62629793521667),1017 Lake Washinton Blvd E,Central,1,Y,Sand,Yes,4486,,,,
