element_key,parking_category,total_nopark,total_zones,parking_spaces,total_spaces
29029,Unrestricted Parking,0,0,17,17
29485,Unrestricted Parking,0,0,20,20
23194,Unrestricted Parking,0,0,2,2
52674,Unrestricted Parking,0,0,17,17
129112,Unrestricted Parking,0,0,60,60
49942,Unrestricted Parking,0,0,13,13
51130,Unrestricted Parking,0,0,25,25
80053,Unrestricted Parking,0,0,9,9
56645,Unrestricted Parking,0,0,8,8
13217,Unrestricted Parking,0,0,2,2
20337,Unrestricted Parking,0,0,11,11
10566,Unrestricted Parking,0,0,12,12
52461,Unrestricted Parking,0,0,31,31
51462,Unrestricted Parking,0,0,26,26
135201,Unrestricted Parking,0,0,4,4
54498,Unrestricted Parking,0,0,16,16
29718,Unrestricted Parking,0,0,16,16
86714,Unrestricted Parking,0,0,4,4
120603,Unrestricted Parking,0,0,12,12
123887,Unrestricted Parking,0,0,3,3
6734,Unrestricted Parking,0,0,25,25
1982,Unrestricted Parking,0,0,26,26
21409,Unrestricted Parking,0,0,17,17
84153,Unrestricted Parking,0,0,25,25
66589,Unrestricted Parking,0,0,9,9
15377,Unrestricted Parking,0,0,1,1
3830,Unrestricted Parking,0,0,13,13
10954,Unrestricted Parking,0,0,14,14
26414,Unrestricted Parking,0,0,6,6
22698,Unrestricted Parking,0,0,12,12
72913,Unrestricted Parking,0,0,12,12
50110,Unrestricted Parking,0,0,3,3
78866,Unrestricted Parking,0,0,13,13
134542,Unrestricted Parking,0,0,17,17
32001,Unrestricted Parking,0,0,9,9
32785,Unrestricted Parking,0,0,25,25
19318,Unrestricted Parking,0,0,12,12
82341,Unrestricted Parking,0,0,5,5
85038,Unrestricted Parking,0,0,15,15
26830,Unrestricted Parking,0,0,11,11
37101,Unrestricted Parking,0,0,10,10
58058,Unrestricted Parking,0,0,6,6
47658,Unrestricted Parking,0,0,22,22
71514,Unrestricted Parking,0,0,17,17
83161,Unrestricted Parking,0,0,4,4
54089,Unrestricted Parking,0,0,17,17
63161,Unrestricted Parking,0,0,10,10
58861,Unrestricted Parking,0,0,11,11
120186,No Parking Allowed,0,0,0,0
15785,Unrestricted Parking,0,0,11,11
48141,Unrestricted Parking,0,0,11,11
42782,Unrestricted Parking,0,0,8,8
87950,Unrestricted Parking,0,0,11,11
36581,Unrestricted Parking,0,0,3,3
78202,Unrestricted Parking,0,0,25,25
86493,Unrestricted Parking,0,0,25,25
84217,Unrestricted Parking,0,0,17,17
58478,Unrestricted Parking,0,0,2,2
85070,Unrestricted Parking,0,0,10,10
84014,Unrestricted Parking,0,0,9,9
58238,Unrestricted Parking,0,0,9,9
71957,Unrestricted Parking,0,0,15,15
22662,Unrestricted Parking,0,0,12,12
29614,Unrestricted Parking,0,0,34,34
7549,Unrestricted Parking,0,0,9,9
55798,Unrestricted Parking,0,0,9,9
15762,Unrestricted Parking,0,0,15,15
3790,Unrestricted Parking,0,0,24,24
38733,Unrestricted Parking,0,0,26,26
72982,Unrestricted Parking,0,0,2,2
82557,Unrestricted Parking,0,0,19,19
4594,Unrestricted Parking,0,0,8,8
39634,Unrestricted Parking,0,0,12,12
19877,Unrestricted Parking,0,0,9,9
11909,Unrestricted Parking,0,0,14,14
29242,Unrestricted Parking,0,0,26,26
89613,Unrestricted Parking,0,0,9,9
38230,Unrestricted Parking,0,0,4,4
24621,Unrestricted Parking,0,0,12,12
89622,Unrestricted Parking,0,0,10,10
44818,Unrestricted Parking,0,0,11,11
35217,Unrestricted Parking,0,0,1,1
62326,Unrestricted Parking,0,0,5,5
89710,Unrestricted Parking,0,0,11,11
22161,Unrestricted Parking,0,0,10,10
6814,Unrestricted Parking,0,0,12,12
29642,Unrestricted Parking,0,0,11,11
50397,Unrestricted Parking,0,0,62,62
14393,Unrestricted Parking,0,0,11,11
42130,Unrestricted Parking,0,0,18,18
120158,Unrestricted Parking,0,0,2,2
1754,Unrestricted Parking,0,0,12,12
122423,Unrestricted Parking,0,0,2,2
13729,Unrestricted Parking,0,0,1,1
124060,Unrestricted Parking,0,0,12,12
48014,Unrestricted Parking,0,0,7,7
28801,Unrestricted Parking,0,0,18,18
12041,Unrestricted Parking,0,0,13,13
35317,Unrestricted Parking,0,0,25,25
26129,Unrestricted Parking,0,0,26,26
131558,Unrestricted Parking,0,0,7,7
28266,Unrestricted Parking,0,0,7,7
35813,Unrestricted Parking,0,0,2,2
130814,No Parking Allowed,0,0,0,0
52914,Unrestricted Parking,0,0,20,20
17926,Unrestricted Parking,0,0,25,25
20765,Unrestricted Parking,0,0,3,3
22769,Unrestricted Parking,0,0,11,11
91454,Unrestricted Parking,0,0,5,5
56998,Unrestricted Parking,0,0,25,25
31126,Unrestricted Parking,0,0,12,12
20082,Unrestricted Parking,0,0,6,6
8074,Unrestricted Parking,0,0,10,10
44217,Unrestricted Parking,0,0,10,10
1673,Unrestricted Parking,0,0,6,6
28969,Unrestricted Parking,0,0,11,11
68517,Unrestricted Parking,0,0,12,12
44318,Unrestricted Parking,0,0,9,9
4409,Unrestricted Parking,0,0,25,25
53525,Unrestricted Parking,0,0,27,27
11493,Unrestricted Parking,0,0,14,14
23906,Unrestricted Parking,0,0,9,9
24641,Unrestricted Parking,0,0,21,21
29402,Unrestricted Parking,0,0,39,39
53353,Unrestricted Parking,0,0,25,25
16170,Unrestricted Parking,0,0,10,10
120545,Unrestricted Parking,0,0,12,12
76377,Unrestricted Parking,0,0,33,33
33938,Unrestricted Parking,0,0,25,25
124031,Unrestricted Parking,0,0,106,106
18409,Unrestricted Parking,0,0,12,12
42382,Unrestricted Parking,0,0,4,4
16554,Unrestricted Parking,0,0,12,12
57969,Unrestricted Parking,0,0,12,12
52970,Unrestricted Parking,0,0,8,8
52778,Unrestricted Parking,0,0,12,12
53861,Unrestricted Parking,0,0,10,10
63657,Unrestricted Parking,0,0,10,10
37065,Unrestricted Parking,0,0,5,5
11465,Unrestricted Parking,0,0,16,16
80990,Unrestricted Parking,0,0,16,16
27386,Unrestricted Parking,0,0,12,12
85421,Unrestricted Parking,0,0,10,10
42649,Unrestricted Parking,0,0,11,11
85738,Unrestricted Parking,0,0,26,26
42557,Unrestricted Parking,0,0,14,14
86194,Unrestricted Parking,0,0,15,15
47773,Unrestricted Parking,0,0,25,25
5893,Unrestricted Parking,0,0,17,17
5881,Unrestricted Parking,0,0,19,19
74974,Unrestricted Parking,0,0,16,16
120587,Unrestricted Parking,0,0,2,2
6141,Unrestricted Parking,0,0,13,13
50173,Unrestricted Parking,0,0,14,14
79697,Unrestricted Parking,0,0,10,10
43317,Unrestricted Parking,0,0,15,15
5322,Unrestricted Parking,0,0,26,26
40137,Unrestricted Parking,0,0,4,4
34466,Unrestricted Parking,0,0,3,3
26558,Unrestricted Parking,0,0,27,27
56762,Unrestricted Parking,0,0,10,10
49234,Unrestricted Parking,0,0,25,25
7862,Unrestricted Parking,0,0,12,12
90162,Unrestricted Parking,0,0,12,12
40417,Unrestricted Parking,0,0,11,11
49169,Unrestricted Parking,0,0,14,14
11969,Unrestricted Parking,0,0,6,6
79174,Unrestricted Parking,0,0,32,32
30953,Unrestricted Parking,0,0,14,14
51389,Unrestricted Parking,0,0,13,13
69126,Unrestricted Parking,0,0,21,21
86313,Unrestricted Parking,0,0,15,15
39202,Unrestricted Parking,0,0,13,13
85558,Unrestricted Parking,0,0,9,9
122480,Unrestricted Parking,0,0,1,1
23838,Unrestricted Parking,0,0,7,7
11946,Unrestricted Parking,0,0,9,9
52249,Unrestricted Parking,0,0,12,12
84549,Unrestricted Parking,0,0,25,25
70945,Unrestricted Parking,0,0,12,12
87158,Unrestricted Parking,0,0,18,18
7806,Unrestricted Parking,0,0,12,12
57490,Unrestricted Parking,0,0,8,8
29201,Unrestricted Parking,0,0,27,27
86642,Unrestricted Parking,0,0,23,23
89090,Unrestricted Parking,0,0,15,15
34129,Unrestricted Parking,0,0,7,7
80806,Unrestricted Parking,0,0,5,5
45030,Unrestricted Parking,0,0,8,8
41961,Unrestricted Parking,0,0,11,11
77078,Unrestricted Parking,0,0,9,9
44197,Unrestricted Parking,0,0,11,11
38753,Unrestricted Parking,0,0,14,14
27389,Unrestricted Parking,0,0,12,12
51446,Unrestricted Parking,0,0,9,9
19017,Unrestricted Parking,0,0,10,10
21798,Unrestricted Parking,0,0,8,8
33978,Unrestricted Parking,0,0,12,12
72941,Unrestricted Parking,0,0,12,12
87290,Unrestricted Parking,0,0,20,20
51894,Unrestricted Parking,0,0,3,3
52390,Unrestricted Parking,0,0,19,19
124033,Unrestricted Parking,0,0,120,120
18925,Unrestricted Parking,0,0,4,4
2397,Unrestricted Parking,0,0,4,4
60098,Unrestricted Parking,0,0,11,11
27869,Unrestricted Parking,0,0,25,25
46978,Unrestricted Parking,0,0,13,13
91597,Unrestricted Parking,0,0,14,14
91781,Unrestricted Parking,0,0,4,4
125556,Unrestricted Parking,0,0,9,9
131468,Unrestricted Parking,0,0,13,13
15350,Unrestricted Parking,0,0,5,5
70414,Unrestricted Parking,0,0,10,10
72590,Unrestricted Parking,0,0,11,11
37522,Unrestricted Parking,0,0,25,25
61825,Unrestricted Parking,0,0,9,9
55345,Unrestricted Parking,0,0,25,25
84081,Unrestricted Parking,0,0,13,13
51085,Unrestricted Parking,0,0,7,7
21014,Unrestricted Parking,0,0,10,10
61053,Unrestricted Parking,0,0,13,13
86166,Unrestricted Parking,0,0,4,4
68086,Unrestricted Parking,0,0,12,12
3657,Unrestricted Parking,0,0,14,14
130329,Unrestricted Parking,0,0,30,30
124039,Unrestricted Parking,0,0,17,17
85678,Unrestricted Parking,0,0,18,18
10738,Unrestricted Parking,0,0,17,17
89441,Unrestricted Parking,0,0,8,8
22593,Unrestricted Parking,0,0,11,11
58537,Unrestricted Parking,0,0,10,10
21641,Unrestricted Parking,0,0,26,26
38897,Unrestricted Parking,0,0,8,8
71854,Unrestricted Parking,0,0,20,20
71014,Unrestricted Parking,0,0,26,26
83173,Unrestricted Parking,0,0,9,9
49806,Unrestricted Parking,0,0,10,10
58277,Unrestricted Parking,0,0,26,26
89650,Unrestricted Parking,0,0,8,8
13610,Unrestricted Parking,0,0,11,11
46865,Unrestricted Parking,0,0,6,6
18230,Unrestricted Parking,0,0,16,16
1381,Unrestricted Parking,0,0,19,19
122465,Unrestricted Parking,0,0,1,1
1893,Unrestricted Parking,0,0,32,32
1178,Unrestricted Parking,0,0,10,10
78209,Unrestricted Parking,0,0,25,25
22809,Unrestricted Parking,0,0,12,12
15570,Unrestricted Parking,0,0,11,11
74945,Unrestricted Parking,0,0,10,10
20226,Unrestricted Parking,0,0,3,3
24170,Unrestricted Parking,0,0,23,23
16373,Unrestricted Parking,0,0,22,22
5994,Unrestricted Parking,0,0,25,25
6757,Unrestricted Parking,0,0,23,23
88906,Unrestricted Parking,0,0,7,7
19441,Unrestricted Parking,0,0,8,8
17853,Unrestricted Parking,0,0,7,7
125576,Unrestricted Parking,0,0,7,7
14205,Unrestricted Parking,0,0,12,12
12570,Unrestricted Parking,0,0,12,12
29638,Unrestricted Parking,0,0,25,25
48917,Unrestricted Parking,0,0,25,25
38977,Unrestricted Parking,0,0,9,9
15790,Unrestricted Parking,0,0,10,10
34685,Unrestricted Parking,0,0,6,6
4066,Unrestricted Parking,0,0,18,18
44522,Unrestricted Parking,0,0,9,9
27889,No Parking Allowed,0,0,0,0
67105,Unrestricted Parking,0,0,12,12
37150,Unrestricted Parking,0,0,12,12
67069,Unrestricted Parking,0,0,12,12
68006,Unrestricted Parking,0,0,12,12
49082,Unrestricted Parking,0,0,11,11
39137,Unrestricted Parking,0,0,13,13
6977,Unrestricted Parking,0,0,19,19
29817,Unrestricted Parking,0,0,38,38
14017,Unrestricted Parking,0,0,2,2
53401,Unrestricted Parking,0,0,21,21
15218,Unrestricted Parking,0,0,7,7
76142,Unrestricted Parking,0,0,51,51
48241,Unrestricted Parking,0,0,28,28
121261,Unrestricted Parking,0,0,2,2
88574,Unrestricted Parking,0,0,5,5
41686,Unrestricted Parking,0,0,9,9
24642,Unrestricted Parking,0,0,21,21
79801,Unrestricted Parking,0,0,2,2
86209,Unrestricted Parking,0,0,12,12
67729,Unrestricted Parking,0,0,10,10
61645,Unrestricted Parking,0,0,9,9
46638,Unrestricted Parking,0,0,10,10
132024,Unrestricted Parking,0,0,3,3
88533,Unrestricted Parking,0,0,25,25
21062,Unrestricted Parking,0,0,4,4
47802,Unrestricted Parking,0,0,13,13
73841,Unrestricted Parking,0,0,14,14
54638,Unrestricted Parking,0,0,11,11
86153,Unrestricted Parking,0,0,14,14
53282,Unrestricted Parking,0,0,9,9
19582,Unrestricted Parking,0,0,12,12
120672,Unrestricted Parking,0,0,5,5
44262,Unrestricted Parking,0,0,12,12
37666,Unrestricted Parking,0,0,9,9
1650,Unrestricted Parking,0,0,12,12
26157,Unrestricted Parking,0,0,17,17
88001,Unrestricted Parking,0,0,13,13
44833,Unrestricted Parking,0,0,11,11
86834,Unrestricted Parking,0,0,10,10
125604,Unrestricted Parking,0,0,1,1
8569,Unrestricted Parking,0,0,17,17
122551,Unrestricted Parking,0,0,2,2
76389,Unrestricted Parking,0,0,4,4
30846,Unrestricted Parking,0,0,52,52
24797,Unrestricted Parking,0,0,25,25
79689,Unrestricted Parking,0,0,12,12
22205,Unrestricted Parking,0,0,5,5
68794,Unrestricted Parking,0,0,10,10
9850,Unrestricted Parking,0,0,4,4
90821,Unrestricted Parking,0,0,12,12
74362,Unrestricted Parking,0,0,18,18
128352,Unrestricted Parking,0,0,2,2
30646,Unrestricted Parking,0,0,6,6
28781,Unrestricted Parking,0,0,26,26
50438,Unrestricted Parking,0,0,26,26
10265,Unrestricted Parking,0,0,4,4
91330,Unrestricted Parking,0,0,7,7
132721,Unrestricted Parking,0,0,45,45
74770,Unrestricted Parking,0,0,5,5
57246,Unrestricted Parking,0,0,20,20
31638,Unrestricted Parking,0,0,12,12
18706,Unrestricted Parking,0,0,6,6
30985,Unrestricted Parking,0,0,26,26
8342,Unrestricted Parking,0,0,26,26
88505,Unrestricted Parking,0,0,11,11
49930,Unrestricted Parking,0,0,9,9
32310,Unrestricted Parking,0,0,26,26
87537,Unrestricted Parking,0,0,10,10
40077,Unrestricted Parking,0,0,2,2
68050,Unrestricted Parking,0,0,10,10
12453,Unrestricted Parking,0,0,5,5
51765,Unrestricted Parking,0,0,17,17
90381,Unrestricted Parking,0,0,12,12
27234,Unrestricted Parking,0,0,25,25
78469,Unrestricted Parking,0,0,4,4
63382,Unrestricted Parking,0,0,6,6
84946,Unrestricted Parking,0,0,1,1
60310,Unrestricted Parking,0,0,14,14
42425,Unrestricted Parking,0,0,4,4
77645,Unrestricted Parking,0,0,16,16
39266,Unrestricted Parking,0,0,12,12
91185,Unrestricted Parking,0,0,12,12
41962,Unrestricted Parking,0,0,11,11
2117,Unrestricted Parking,0,0,12,12
57981,Unrestricted Parking,0,0,15,15
84777,Unrestricted Parking,0,0,9,9
56522,Unrestricted Parking,0,0,8,8
39789,Unrestricted Parking,0,0,15,15
59582,Unrestricted Parking,0,0,9,9
9622,Unrestricted Parking,0,0,18,18
35769,Unrestricted Parking,0,0,9,9
3953,Unrestricted Parking,0,0,5,5
52850,Unrestricted Parking,0,0,38,38
36210,Unrestricted Parking,0,0,10,10
20214,Unrestricted Parking,0,0,11,11
89234,Unrestricted Parking,0,0,9,9
84793,Unrestricted Parking,0,0,1,1
3942,Unrestricted Parking,0,0,29,29
11373,Unrestricted Parking,0,0,18,18
46521,Unrestricted Parking,0,0,26,26
20533,Unrestricted Parking,0,0,20,20
40966,Unrestricted Parking,0,0,8,8
78425,Unrestricted Parking,0,0,12,12
120716,Unrestricted Parking,0,0,18,18
13894,Unrestricted Parking,0,0,7,7
57393,Unrestricted Parking,0,0,4,4
121179,Unrestricted Parking,0,0,3,3
36793,Unrestricted Parking,0,0,9,9
19021,Unrestricted Parking,0,0,10,10
57037,Unrestricted Parking,0,0,2,2
74769,Unrestricted Parking,0,0,5,5
29905,Unrestricted Parking,0,0,10,10
12998,Unrestricted Parking,0,0,17,17
88758,Unrestricted Parking,0,0,10,10
81081,Unrestricted Parking,0,0,3,3
68109,Unrestricted Parking,0,0,10,10
56986,Unrestricted Parking,0,0,33,33
71038,Unrestricted Parking,0,0,27,27
43637,Unrestricted Parking,0,0,10,10
78213,Unrestricted Parking,0,0,25,25
87146,Unrestricted Parking,0,0,14,14
48709,Unrestricted Parking,0,0,10,10
90505,Unrestricted Parking,0,0,3,3
3709,Unrestricted Parking,0,0,4,4
50981,Unrestricted Parking,0,0,16,16
74673,Unrestricted Parking,0,0,25,25
67470,Unrestricted Parking,0,0,3,3
82389,Unrestricted Parking,0,0,5,5
22326,Unrestricted Parking,0,0,12,12
88038,Unrestricted Parking,0,0,9,9
90718,Unrestricted Parking,0,0,12,12
11457,Unrestricted Parking,0,0,11,11
88025,Unrestricted Parking,0,0,10,10
23157,Unrestricted Parking,0,0,8,8
16614,Unrestricted Parking,0,0,12,12
66829,Unrestricted Parking,0,0,12,12
84262,Unrestricted Parking,0,0,4,4
78014,Unrestricted Parking,0,0,26,26
59297,Unrestricted Parking,0,0,12,12
44906,Unrestricted Parking,0,0,12,12
11209,Unrestricted Parking,0,0,13,13
86533,Unrestricted Parking,0,0,9,9
19066,Unrestricted Parking,0,0,10,10
89337,Unrestricted Parking,0,0,4,4
20513,Unrestricted Parking,0,0,16,16
47893,Unrestricted Parking,0,0,25,25
66466,Unrestricted Parking,0,0,10,10
84878,Unrestricted Parking,0,0,10,10
37037,Unrestricted Parking,0,0,5,5
39897,Unrestricted Parking,0,0,11,11
60569,Unrestricted Parking,0,0,9,9
53658,Unrestricted Parking,0,0,8,8
120859,Unrestricted Parking,0,0,4,4
13641,Unrestricted Parking,0,0,38,38
26166,Unrestricted Parking,0,0,24,24
66897,Unrestricted Parking,0,0,12,12
65950,Unrestricted Parking,0,0,6,6
70481,Unrestricted Parking,0,0,29,29
121276,Unrestricted Parking,0,0,5,5
34357,Unrestricted Parking,0,0,5,5
22118,Unrestricted Parking,0,0,12,12
29241,Unrestricted Parking,0,0,26,26
35809,Unrestricted Parking,0,0,9,9
19126,Unrestricted Parking,0,0,10,10
42253,Unrestricted Parking,0,0,3,3
66057,Unrestricted Parking,0,0,9,9
19138,Unrestricted Parking,0,0,9,9
81562,Unrestricted Parking,0,0,12,12
40369,Unrestricted Parking,0,0,12,12
76126,Unrestricted Parking,0,0,9,9
46873,Unrestricted Parking,0,0,12,12
12073,Unrestricted Parking,0,0,59,59
16881,Unrestricted Parking,0,0,6,6
23918,Unrestricted Parking,0,0,12,12
53418,Unrestricted Parking,0,0,6,6
2030,Unrestricted Parking,0,0,26,26
42357,Unrestricted Parking,0,0,7,7
7858,Unrestricted Parking,0,0,12,12
86937,Unrestricted Parking,0,0,12,12
89633,Unrestricted Parking,0,0,4,4
87522,Unrestricted Parking,0,0,13,13
74702,Unrestricted Parking,0,0,9,9
68409,Unrestricted Parking,0,0,9,9
1641,Unrestricted Parking,0,0,12,12
24374,Unrestricted Parking,0,0,16,16
26322,Unrestricted Parking,0,0,18,18
41217,Unrestricted Parking,0,0,26,26
71217,Unrestricted Parking,0,0,8,8
87329,Unrestricted Parking,0,0,26,26
85802,Unrestricted Parking,0,0,24,24
37885,Unrestricted Parking,0,0,11,11
60865,Unrestricted Parking,0,0,4,4
128728,Unrestricted Parking,0,0,31,31
62605,Unrestricted Parking,0,0,1,1
22194,Unrestricted Parking,0,0,12,12
47146,Unrestricted Parking,0,0,5,5
1190,Unrestricted Parking,0,0,25,25
23025,Unrestricted Parking,0,0,10,10
65854,Unrestricted Parking,0,0,3,3
121277,Unrestricted Parking,0,0,8,8
120353,Unrestricted Parking,0,0,25,25
38929,Unrestricted Parking,0,0,12,12
22214,Unrestricted Parking,0,0,3,3
81729,Unrestricted Parking,0,0,9,9
121019,Unrestricted Parking,0,0,2,2
36745,Unrestricted Parking,0,0,5,5
21573,Unrestricted Parking,0,0,7,7
122999,Unrestricted Parking,0,0,1,1
4509,Unrestricted Parking,0,0,9,9
50922,Unrestricted Parking,0,0,25,25
46186,Unrestricted Parking,0,0,11,11
19722,Unrestricted Parking,0,0,13,13
77761,Unrestricted Parking,0,0,16,16
55802,Unrestricted Parking,0,0,9,9
34058,Unrestricted Parking,0,0,9,9
53037,Unrestricted Parking,0,0,32,32
91002,Unrestricted Parking,0,0,12,12
87730,Unrestricted Parking,0,0,11,11
46522,Unrestricted Parking,0,0,26,26
20573,Unrestricted Parking,0,0,5,5
39761,Unrestricted Parking,0,0,4,4
65462,Unrestricted Parking,0,0,9,9
90701,Unrestricted Parking,0,0,12,12
81533,Unrestricted Parking,0,0,9,9
60029,Unrestricted Parking,0,0,10,10
30938,Unrestricted Parking,0,0,24,24
57777,Unrestricted Parking,0,0,12,12
87433,Unrestricted Parking,0,0,25,25
30077,Unrestricted Parking,0,0,27,27
21910,Unrestricted Parking,0,0,13,13
10570,Unrestricted Parking,0,0,10,10
82326,Unrestricted Parking,0,0,3,3
27373,Unrestricted Parking,0,0,26,26
5173,Unrestricted Parking,0,0,35,35
26937,Unrestricted Parking,0,0,10,10
19982,Unrestricted Parking,0,0,11,11
88978,Unrestricted Parking,0,0,21,21
122639,Unrestricted Parking,0,0,2,2
7522,Unrestricted Parking,0,0,6,6
66222,Unrestricted Parking,0,0,22,22
65489,Unrestricted Parking,0,0,11,11
84945,Unrestricted Parking,0,0,1,1
90657,Unrestricted Parking,0,0,17,17
44306,Unrestricted Parking,0,0,10,10
67953,Unrestricted Parking,0,0,6,6
38245,Unrestricted Parking,0,0,19,19
83642,Unrestricted Parking,0,0,15,15
28570,Unrestricted Parking,0,0,21,21
18473,Unrestricted Parking,0,0,11,11
75513,Unrestricted Parking,0,0,25,25
31362,Unrestricted Parking,0,0,26,26
19353,Unrestricted Parking,0,0,12,12
68205,Unrestricted Parking,0,0,11,11
82342,Unrestricted Parking,0,0,5,5
6802,Unrestricted Parking,0,0,15,15
45361,Unrestricted Parking,0,0,12,12
29006,Unrestricted Parking,0,0,6,6
33077,Unrestricted Parking,0,0,9,9
13862,Unrestricted Parking,0,0,5,5
28177,Unrestricted Parking,0,0,17,17
38869,Unrestricted Parking,0,0,4,4
24393,Unrestricted Parking,0,0,11,11
33053,Unrestricted Parking,0,0,17,17
68018,Unrestricted Parking,0,0,16,16
41629,Unrestricted Parking,0,0,12,12
40450,Unrestricted Parking,0,0,4,4
5809,Unrestricted Parking,0,0,21,21
48022,Unrestricted Parking,0,0,17,17
26906,Unrestricted Parking,0,0,12,12
35078,Unrestricted Parking,0,0,17,17
73498,Unrestricted Parking,0,0,11,11
17978,Unrestricted Parking,0,0,12,12
24346,Unrestricted Parking,0,0,27,27
74145,Unrestricted Parking,0,0,16,16
20262,Unrestricted Parking,0,0,9,9
40845,Unrestricted Parking,0,0,9,9
40621,Unrestricted Parking,0,0,11,11
67821,Unrestricted Parking,0,0,14,14
25913,Unrestricted Parking,0,0,5,5
35134,Unrestricted Parking,0,0,10,10
30210,Unrestricted Parking,0,0,10,10
31197,Unrestricted Parking,0,0,10,10
62997,Unrestricted Parking,0,0,25,25
40977,Unrestricted Parking,0,0,16,16
23990,Unrestricted Parking,0,0,11,11
88509,Unrestricted Parking,0,0,11,11
30717,Unrestricted Parking,0,0,21,21
45745,Unrestricted Parking,0,0,6,6
9014,Unrestricted Parking,0,0,9,9
85766,Unrestricted Parking,0,0,6,6
19761,Unrestricted Parking,0,0,20,20
1842,Unrestricted Parking,0,0,18,18
4942,Unrestricted Parking,0,0,12,12
72061,Unrestricted Parking,0,0,5,5
36857,Unrestricted Parking,0,0,10,10
10961,Unrestricted Parking,0,0,32,32
74870,Unrestricted Parking,0,0,34,34
121940,Unrestricted Parking,0,0,27,27
122573,Unrestricted Parking,0,0,3,3
13290,Unrestricted Parking,0,0,16,16
20933,Unrestricted Parking,0,0,13,13
30001,Unrestricted Parking,0,0,15,15
86781,Unrestricted Parking,0,0,10,10
78493,Unrestricted Parking,0,0,9,9
61041,Unrestricted Parking,0,0,11,11
71142,Unrestricted Parking,0,0,15,15
56526,Unrestricted Parking,0,0,101,101
75462,Unrestricted Parking,0,0,25,25
71874,Unrestricted Parking,0,0,26,26
72617,Unrestricted Parking,0,0,16,16
90610,Unrestricted Parking,0,0,12,12
10410,Unrestricted Parking,0,0,11,11
26749,Unrestricted Parking,0,0,11,11
6970,Unrestricted Parking,0,0,14,14
84185,Unrestricted Parking,0,0,10,10
21902,Unrestricted Parking,0,0,2,2
3958,Unrestricted Parking,0,0,9,9
88577,Unrestricted Parking,0,0,9,9
132222,Unrestricted Parking,0,0,4,4
40301,Unrestricted Parking,0,0,10,10
69405,Unrestricted Parking,0,0,4,4
29621,Unrestricted Parking,0,0,17,17
91193,Unrestricted Parking,0,0,11,11
87217,Unrestricted Parking,0,0,33,33
17546,Unrestricted Parking,0,0,9,9
57694,Unrestricted Parking,0,0,7,7
47094,Unrestricted Parking,0,0,10,10
79410,Unrestricted Parking,0,0,9,9
14058,Unrestricted Parking,0,0,32,32
8694,Unrestricted Parking,0,0,25,25
72561,Unrestricted Parking,0,0,25,25
69733,Unrestricted Parking,0,0,25,25
11102,Unrestricted Parking,0,0,13,13
4482,Unrestricted Parking,0,0,25,25
18222,Unrestricted Parking,0,0,5,5
60318,Unrestricted Parking,0,0,4,4
56722,Unrestricted Parking,0,0,4,4
68021,Unrestricted Parking,0,0,11,11
67198,Unrestricted Parking,0,0,12,12
4042,Unrestricted Parking,0,0,9,9
85633,Unrestricted Parking,0,0,11,11
124970,No Parking Allowed,0,0,0,0
87734,Unrestricted Parking,0,0,11,11
40389,Unrestricted Parking,0,0,26,26
12477,Unrestricted Parking,0,0,22,22
25802,Unrestricted Parking,0,0,11,11
38150,Unrestricted Parking,0,0,11,11
132021,Unrestricted Parking,0,0,1,1
27053,Unrestricted Parking,0,0,22,22
7966,Unrestricted Parking,0,0,40,40
4662,Unrestricted Parking,0,0,26,26
120213,Unrestricted Parking,0,0,2,2
79493,Unrestricted Parking,0,0,7,7
52310,Unrestricted Parking,0,0,26,26
46358,Unrestricted Parking,0,0,10,10
19149,Unrestricted Parking,0,0,25,25
28513,Unrestricted Parking,0,0,8,8
5605,Unrestricted Parking,0,0,10,10
82078,Unrestricted Parking,0,0,12,12
22125,Unrestricted Parking,0,0,12,12
75481,Unrestricted Parking,0,0,9,9
39237,Unrestricted Parking,0,0,12,12
83954,Unrestricted Parking,0,0,26,26
30718,Unrestricted Parking,0,0,21,21
18826,Unrestricted Parking,0,0,8,8
79194,Unrestricted Parking,0,0,20,20
22777,Unrestricted Parking,0,0,10,10
1685,Unrestricted Parking,0,0,25,25
8113,Unrestricted Parking,0,0,3,3
28274,No Parking Allowed,0,0,0,0
68321,Unrestricted Parking,0,0,13,13
23105,Unrestricted Parking,0,0,12,12
50218,Unrestricted Parking,0,0,13,13
22726,Unrestricted Parking,0,0,13,13
78034,Unrestricted Parking,0,0,12,12
16785,Unrestricted Parking,0,0,12,12
38042,Unrestricted Parking,0,0,7,7
12569,Unrestricted Parking,0,0,11,11
79189,Unrestricted Parking,0,0,41,41
45633,Unrestricted Parking,0,0,10,10
89478,Unrestricted Parking,0,0,6,6
58313,Unrestricted Parking,0,0,9,9
28542,Unrestricted Parking,0,0,25,25
19658,Unrestricted Parking,0,0,31,31
36277,Unrestricted Parking,0,0,9,9
53405,Unrestricted Parking,0,0,25,25
86729,Unrestricted Parking,0,0,10,10
121004,Unrestricted Parking,0,0,3,3
89342,Unrestricted Parking,0,0,15,15
29437,Unrestricted Parking,0,0,42,42
122483,Unrestricted Parking,0,0,10,10
28493,Unrestricted Parking,0,0,25,25
12889,Unrestricted Parking,0,0,9,9
73265,Unrestricted Parking,0,0,16,16
72149,Unrestricted Parking,0,0,13,13
